Farm_ID,Region,Crop_Type,Season,Area_Planted_Ha,Fertilizer_Used_kg,Rainfall_mm,Yield_Tonnes,Soil_Type,Market_Price_KES_per_Tonne,Year
FARM000074,Kisumu,Sugarcane,Short Rains,2.06,218.2,1298.1,7.58,Loamy,64857.49,2016
FARM000075,Kisumu,Sugarcane,Short Rains,3.55,106.6,965.9,2.33,Clay,71064.72,2016
FARM000076,Nyeri,Coffee,Long Rains,3.83,490.0,870.5,7.74,Clay,76038.03,2022
FARM000077,Embu,Wheat,Long Rains,4.19,103.7,496.7,2.66,Clay,44465.48,2022
FARM000078,Uasin Gishu,Sugarcane,Short Rains,6.47,498.1,1394.6,11.92,Sandy,48207.78,2024
FARM000079,Nyeri,Wheat,Short Rains,1.63,438.0,229.1,9.72,Clay,23285.19,2017
FARM000080,Uasin Gishu,Beans,Short Rains,1.13,137.9,1195.2,4.26,Loamy,70579.03,2018
FARM000081,Uasin Gishu,Beans,Long Rains,6.89,60.3,1328.8,11.44,Sandy,29852.77,2021
FARM000082,Bungoma,Tea,Short Rains,9.04,105.4,758.0,1.42,Clay,73076.17,2020
FARM000083,Nakuru,Beans,Short Rains,5.54,232.8,734.3,3.68,Loamy,74567.24,2023
FARM000084,Embu,Maize,Long Rains,8.68,245.4,1188.5,3.59,Clay,47993.35,2022
FARM000085,Nakuru,Coffee,Long Rains,4.96,428.5,776.5,3.36,Sandy,49145.56,2023
FARM000086,Embu,Sugarcane,Short Rains,4.61,174.9,843.0,4.26,Clay,12972.97,2023
FARM000087,Kisumu,Wheat,Long Rains,3.68,284.1,336.6,2.09,Sandy,41371.85,2017
FARM000088,Nyeri,Sugarcane,Short Rains,9.39,366.4,899.5,5.9,Clay,30669.41,2021
FARM000089,Bungoma,Sugarcane,Long Rains,9.85,177.4,460.7,5.01,Loamy,59197.12,2020
FARM000090,Uasin Gishu,Coffee,Short Rains,6.31,233.5,279.0,8.74,Clay,63021.53,2024
FARM000091,Nakuru,Wheat,Short Rains,5.59,236.2,587.4,11.62,Loamy,50316.87,2024
FARM000092,Uasin Gishu,Sugarcane,Long Rains,5.39,454.3,1402.8,6.43,Sandy,50239.07,2024
FARM000093,Bungoma,Maize,Long Rains,9.4,311.6,1224.9,10.1,Loamy,77114.98,2016
FARM000094,Bungoma,Beans,Short Rains,1.34,232.5,466.1,9.69,Clay,52643.89,2019
FARM000095,Nyeri,Tea,Short Rains,2.41,462.0,1032.8,0.65,Sandy,77167.1,2016
FARM000096,Kisumu,Tea,Short Rains,6.11,370.3,1492.8,11.51,Clay,13531.58,2018
FARM000097,Meru,Maize,Short Rains,7.15,323.4,778.2,5.11,Loamy,72706.96,2015
FARM000098,Nyeri,Sugarcane,Short Rains,7.53,342.9,421.6,7.7,Sandy,31211.85,2023
FARM000099,Kisumu,Maize,Long Rains,9.34,208.4,1081.7,3.89,Sandy,73418.12,2016
FARM000100,Nakuru,Beans,Long Rains,9.52,490.3,1155.3,3.76,Clay,18663.01,2018
FARM000101,Meru,Wheat,Long Rains,9.77,173.5,925.2,1.5,Sandy,50623.29,2022
FARM000102,Bungoma,Beans,Short Rains,1.87,169.8,431.6,0.24,Loamy,17361.76,2017
FARM000103,Meru,Beans,Long Rains,8.23,118.4,1086.2,6.78,Clay,51015.71,2018
FARM000104,Kisumu,Tea,Long Rains,5.84,400.2,1198.4,1.45,Clay,27079.25,2017
FARM000105,Uasin Gishu,Coffee,Long Rains,5.12,369.7,1104.1,10.31,Clay,11590.99,2021
FARM000106,Nyeri,Tea,Long Rains,1.6,142.0,226.0,8.54,Sandy,73654.56,2020
FARM000107,Embu,Tea,Long Rains,0.84,71.6,695.8,7.82,Clay,60376.23,2023
FARM000108,Bungoma,Wheat,Short Rains,4.67,256.8,1164.0,6.57,Clay,19845.62,2020
FARM000109,Nyeri,Maize,Long Rains,1.4,244.5,491.0,8.58,Loamy,13201.02,2018
FARM000110,Bungoma,Maize,Short Rains,7.13,50.3,1156.4,9.46,Loamy,79861.8,2020
FARM000111,Meru,Maize,Short Rains,7.1,161.4,750.1,2.94,Loamy,54995.47,2015
FARM000112,Nakuru,Wheat,Long Rains,2.25,277.7,1171.5,6.76,Loamy,10199.68,2019
FARM000113,Uasin Gishu,Maize,Long Rains,6.58,234.3,669.0,4.5,Sandy,78111.3,2020
FARM000114,Kisumu,Wheat,Long Rains,4.09,266.1,507.9,11.81,Sandy,65860.93,2018
FARM000115,Nakuru,Tea,Long Rains,1.74,443.1,579.0,2.66,Clay,67682.39,2015
FARM000116,Embu,Sugarcane,Short Rains,5.55,235.0,1221.1,9.02,Clay,35928.4,2023
FARM000117,Uasin Gishu,Beans,Short Rains,3.05,440.9,1493.8,6.98,Loamy,53565.67,2019
FARM000118,Kisumu,Sugarcane,Long Rains,1.41,477.7,361.6,10.9,Loamy,51715.73,2017
FARM000119,Uasin Gishu,Coffee,Long Rains,4.35,173.5,526.3,7.65,Loamy,79590.42,2015
FARM000120,Nakuru,Maize,Long Rains,4.44,83.2,1083.5,8.56,Sandy,75199.3,2019
FARM000121,Bungoma,Sugarcane,Long Rains,7.02,471.4,719.8,4.47,Loamy,76067.95,2022
FARM000122,Nyeri,Tea,Long Rains,1.44,383.8,451.8,5.33,Loamy,20200.85,2022
FARM000123,Nakuru,Tea,Short Rains,2.36,313.9,1135.2,4.37,Clay,56355.53,2023
FARM000124,Nyeri,Wheat,Short Rains,2.53,94.0,346.7,11.81,Clay,30447.71,2015
FARM000125,Kisumu,Tea,Long Rains,5.3,477.3,1427.7,3.36,Loamy,22608.35,2015
FARM000126,Kisumu,Sugarcane,Short Rains,3.84,101.6,1154.5,2.47,Clay,57853.78,2022
FARM000127,Nakuru,Maize,Short Rains,4.99,204.3,1014.2,6.02,Loamy,10540.05,2018
FARM000128,Embu,Tea,Long Rains,4.01,321.2,1453.7,11.28,Clay,73591.3,2024
FARM000129,Embu,Beans,Short Rains,1.88,221.2,729.7,3.84,Sandy,24883.17,2021
FARM000130,Embu,Wheat,Long Rains,8.41,162.6,1469.5,1.28,Clay,22127.57,2021
FARM000131,Embu,Sugarcane,Long Rains,9.43,200.3,1371.0,9.24,Sandy,58020.6,2017
FARM000132,Embu,Coffee,Short Rains,9.52,443.3,1255.3,0.9,Loamy,43287.47,2018
FARM000133,Meru,Wheat,Long Rains,0.91,60.8,238.2,4.76,Sandy,15109.36,2021
FARM000134,Uasin Gishu,Maize,Short Rains,6.9,214.3,766.3,4.59,Sandy,28247.16,2021
FARM000135,Embu,Sugarcane,Long Rains,6.2,97.1,922.4,7.65,Clay,65784.8,2017
FARM000136,Embu,Sugarcane,Short Rains,3.93,305.1,1182.2,10.15,Clay,10125.82,2024
FARM000137,Uasin Gishu,Beans,Short Rains,3.37,282.3,270.0,11.5,Sandy,48675.92,2024
FARM000138,Embu,Wheat,Long Rains,4.88,465.4,1214.4,11.39,Loamy,24404.77,2020
FARM000139,Uasin Gishu,Maize,Long Rains,9.15,155.1,610.9,7.62,Sandy,56641.57,2017
FARM000140,Embu,Beans,Long Rains,4.09,74.6,1314.1,3.76,Clay,35606.31,2020
FARM000141,Nyeri,Tea,Short Rains,3.4,130.1,638.3,2.72,Clay,43940.73,2017
FARM000142,Kisumu,Coffee,Short Rains,1.1,76.2,438.0,8.0,Loamy,67797.94,2024
FARM000143,Uasin Gishu,Tea,Short Rains,9.57,299.5,315.7,5.44,Sandy,75691.3,2018
FARM000144,Meru,Coffee,Short Rains,1.83,51.7,1463.7,0.53,Clay,30029.35,2022
FARM000145,Nyeri,Coffee,Short Rains,8.58,496.5,759.6,4.54,Clay,15981.68,2024
FARM000146,Meru,Maize,Long Rains,1.69,96.4,676.6,1.47,Sandy,31421.92,2018
FARM000147,Meru,Maize,Long Rains,8.63,384.0,1038.9,4.63,Clay,61190.99,2021
FARM000148,Meru,Wheat,Long Rains,3.13,446.4,1261.5,3.02,Clay,68211.24,2016
FARM000149,Bungoma,Tea,Short Rains,5.62,179.3,443.0,2.3,Clay,18363.27,2018
FARM000150,Uasin Gishu,Coffee,Long Rains,0.56,373.0,941.8,3.35,Loamy,31121.56,2021
FARM000151,Embu,Beans,Short Rains,5.49,498.8,936.5,0.9,Clay,57201.23,2020
FARM000152,Kisumu,Coffee,Long Rains,7.47,422.8,367.1,4.92,Clay,66582.38,2018
FARM000153,Meru,Coffee,Long Rains,5.66,241.5,853.6,6.29,Clay,37527.17,2018
FARM000154,Meru,Beans,Short Rains,7.55,375.0,344.9,8.51,Sandy,79258.79,2021
FARM000155,Meru,Tea,Short Rains,5.38,413.6,574.3,5.48,Loamy,14477.75,2023
FARM000156,Nakuru,Tea,Short Rains,3.97,453.0,368.9,7.67,Sandy,54898.11,2024
FARM000157,Nakuru,Coffee,Short Rains,1.2,395.7,1275.1,6.35,Sandy,46786.3,2015
FARM000158,Bungoma,Coffee,Long Rains,4.74,431.1,1026.4,6.47,Loamy,41528.75,2021
FARM000159,Kisumu,Maize,Short Rains,1.85,325.4,1467.7,9.38,Loamy,63776.07,2023
FARM000160,Meru,Maize,Long Rains,3.25,285.4,1248.5,1.13,Clay,19684.17,2017
FARM000161,Nakuru,Maize,Short Rains,7.99,381.3,871.0,5.05,Loamy,19397.81,2020
FARM000162,Embu,Wheat,Long Rains,1.41,486.0,874.0,10.21,Loamy,21812.05,2019
FARM000163,Bungoma,Sugarcane,Long Rains,7.53,344.5,707.1,5.64,Sandy,14564.59,2023
FARM000164,Kisumu,Coffee,Short Rains,2.73,191.5,886.0,11.43,Sandy,19959.04,2017
FARM000165,Meru,Maize,Long Rains,0.81,478.6,643.1,3.98,Sandy,53642.48,2022
FARM000166,Kisumu,Coffee,Short Rains,8.54,227.1,281.7,4.35,Clay,55688.16,2017
FARM000167,Kisumu,Tea,Long Rains,3.71,463.3,1334.6,8.75,Loamy,51355.41,2019
FARM000168,Nakuru,Wheat,Short Rains,4.84,416.5,1199.2,9.65,Loamy,71228.01,2017
FARM000169,Uasin Gishu,Coffee,Long Rains,1.47,261.7,554.9,0.57,Sandy,44089.89,2018
FARM000170,Meru,Coffee,Short Rains,7.98,476.8,1280.4,7.58,Sandy,10714.16,2021
FARM000171,Embu,Maize,Short Rains,4.46,162.5,926.1,3.42,Clay,37586.34,2022
FARM000172,Kisumu,Maize,Short Rains,8.52,439.1,1370.5,1.65,Sandy,30246.13,2018
FARM000173,Meru,Sugarcane,Long Rains,2.51,213.9,1495.5,3.06,Clay,67648.63,2024
FARM000174,Nakuru,Coffee,Short Rains,0.92,88.8,1259.9,2.55,Clay,47716.88,2018
FARM000175,Kisumu,Sugarcane,Long Rains,9.2,90.6,1044.9,10.72,Sandy,62907.33,2020
FARM000176,Bungoma,Beans,Short Rains,1.86,134.6,323.7,11.46,Loamy,31858.69,2021
FARM000177,Kisumu,Tea,Short Rains,4.28,326.5,1260.6,6.25,Clay,73237.45,2020
FARM000178,Bungoma,Maize,Short Rains,4.53,270.3,1171.0,2.86,Sandy,56464.49,2024
FARM000179,Nyeri,Coffee,Long Rains,5.3,456.2,640.7,4.12,Clay,12683.77,2021
FARM000180,Kisumu,Wheat,Short Rains,5.62,283.5,558.2,1.81,Clay,63957.67,2021
FARM000181,Uasin Gishu,Coffee,Short Rains,3.39,55.5,1363.7,3.73,Sandy,35213.87,2020
FARM000182,Embu,Tea,Short Rains,5.14,358.8,264.0,2.62,Clay,64896.72,2016
FARM000183,Uasin Gishu,Tea,Long Rains,1.73,258.4,258.1,7.44,Clay,79958.65,2017
FARM000184,Meru,Sugarcane,Long Rains,6.28,321.7,291.1,7.45,Sandy,59810.0,2016
FARM000185,Nyeri,Wheat,Short Rains,2.6,182.7,859.9,10.98,Loamy,42622.74,2017
FARM000186,Embu,Wheat,Long Rains,9.82,477.5,759.0,0.75,Sandy,11771.1,2021
FARM000187,Nyeri,Maize,Long Rains,6.93,127.2,699.2,4.82,Loamy,15802.0,2018
FARM000188,Nakuru,Wheat,Short Rains,2.57,80.4,904.0,10.25,Loamy,18741.13,2021
FARM000189,Kisumu,Coffee,Long Rains,5.68,480.1,299.3,0.44,Clay,28813.95,2017
FARM000190,Kisumu,Wheat,Long Rains,5.48,447.1,316.5,2.62,Loamy,51879.18,2015
FARM000191,Nakuru,Coffee,Short Rains,9.19,146.7,1479.3,10.14,Sandy,48590.15,2022
FARM000192,Bungoma,Maize,Short Rains,6.69,188.7,1157.7,3.95,Sandy,71919.82,2017
FARM000193,Uasin Gishu,Wheat,Short Rains,7.87,269.3,1078.1,5.98,Sandy,52972.58,2018
FARM000194,Nakuru,Sugarcane,Short Rains,5.8,264.3,1072.5,9.38,Sandy,48709.56,2018
FARM000195,Embu,Beans,Short Rains,0.95,358.0,701.2,10.45,Clay,61196.33,2022
FARM000196,Nakuru,Wheat,Long Rains,2.99,119.2,1484.9,1.59,Sandy,57281.87,2016
FARM000197,Kisumu,Beans,Short Rains,7.1,424.0,746.5,2.17,Loamy,11895.95,2023
FARM000198,Kisumu,Wheat,Short Rains,2.0,315.1,697.8,5.32,Loamy,43023.52,2017
FARM000199,Nyeri,Sugarcane,Short Rains,7.48,206.5,1239.2,3.22,Clay,68764.23,2023
FARM000200,Nyeri,Wheat,Long Rains,8.54,199.7,558.9,4.74,Sandy,28531.94,2022
FARM000201,Bungoma,Coffee,Long Rains,1.45,111.6,536.5,0.99,Loamy,75099.4,2018
FARM000202,Bungoma,Coffee,Short Rains,6.79,174.4,270.9,4.23,Sandy,10624.13,2024
FARM000203,Nyeri,Beans,Short Rains,4.08,96.9,230.2,10.84,Sandy,32075.01,2019
FARM000204,Embu,Beans,Short Rains,1.98,396.6,755.2,10.61,Clay,71475.13,2021
FARM000205,Bungoma,Maize,Short Rains,3.98,291.4,1309.0,6.13,Sandy,21223.35,2022
FARM000206,Kisumu,Maize,Long Rains,7.18,331.6,1443.8,6.59,Loamy,29285.84,2016
FARM000207,Kisumu,Wheat,Long Rains,5.54,67.0,557.9,8.09,Sandy,51893.89,2015
FARM000208,Embu,Wheat,Long Rains,1.98,485.9,1171.8,3.3,Sandy,28009.17,2024
FARM000209,Nyeri,Wheat,Short Rains,5.35,411.0,255.4,5.51,Clay,53539.27,2022
FARM000210,Embu,Coffee,Short Rains,7.39,212.8,336.3,5.48,Loamy,41828.84,2016
FARM000211,Kisumu,Beans,Short Rains,8.74,104.7,477.0,9.01,Loamy,11210.46,2023
FARM000212,Kisumu,Maize,Short Rains,6.71,321.6,611.1,1.79,Sandy,50575.01,2024
FARM000213,Uasin Gishu,Sugarcane,Long Rains,6.23,217.1,1239.1,11.7,Sandy,74816.08,2015
FARM000214,Bungoma,Wheat,Long Rains,9.95,218.3,787.1,5.77,Clay,71253.16,2024
FARM000215,Kisumu,Maize,Short Rains,6.26,285.9,1059.7,7.78,Loamy,31599.6,2023
FARM000216,Nakuru,Tea,Long Rains,6.08,496.9,1016.3,6.68,Sandy,30162.66,2019
FARM000217,Nyeri,Wheat,Short Rains,3.1,477.2,1318.1,9.2,Clay,77942.78,2015
FARM000218,Meru,Sugarcane,Short Rains,1.52,191.9,931.1,6.08,Clay,14427.17,2016
FARM000219,Kisumu,Coffee,Short Rains,4.12,84.8,1462.7,1.63,Clay,59592.03,2018
FARM000220,Nakuru,Sugarcane,Long Rains,6.99,356.3,910.5,3.99,Sandy,22404.33,2023
FARM000221,Bungoma,Beans,Long Rains,6.0,277.1,1477.8,4.45,Loamy,66654.75,2018
FARM000222,Kisumu,Tea,Long Rains,9.62,219.9,1199.5,9.67,Sandy,11611.21,2017
FARM000223,Uasin Gishu,Maize,Long Rains,8.35,426.3,1272.6,1.84,Clay,79479.31,2016
FARM000224,Meru,Maize,Long Rains,9.76,126.1,550.8,0.7,Clay,41922.68,2024
FARM000225,Nakuru,Beans,Short Rains,3.29,476.6,912.9,11.35,Loamy,68166.34,2024
FARM000226,Bungoma,Wheat,Long Rains,1.27,147.4,1498.9,11.0,Clay,17403.2,2018
FARM000227,Embu,Wheat,Short Rains,6.94,71.4,432.2,2.19,Clay,70138.09,2024
FARM000228,Bungoma,Maize,Long Rains,9.36,97.2,357.0,2.56,Clay,74344.54,2016
FARM000229,Embu,Tea,Long Rains,3.97,283.9,654.6,0.44,Sandy,22037.13,2021
FARM000230,Meru,Coffee,Short Rains,7.56,403.8,1187.7,10.69,Sandy,44197.45,2021
FARM000231,Meru,Beans,Long Rains,9.02,316.0,1218.2,11.23,Loamy,27054.41,2021
FARM000232,Uasin Gishu,Sugarcane,Short Rains,3.52,450.3,855.2,4.6,Loamy,59353.39,2016
FARM000233,Kisumu,Tea,Short Rains,7.48,418.1,321.1,1.1,Sandy,75706.39,2023
FARM000234,Bungoma,Coffee,Short Rains,9.35,473.1,246.4,6.8,Loamy,16333.92,2023
FARM000235,Meru,Maize,Long Rains,4.6,309.1,1075.8,6.76,Sandy,27051.79,2023
FARM000236,Uasin Gishu,Tea,Short Rains,2.26,66.5,1013.7,3.96,Sandy,75030.02,2015
FARM000237,Meru,Wheat,Short Rains,3.27,151.6,980.7,5.68,Loamy,78702.29,2018
FARM000238,Meru,Coffee,Short Rains,5.23,133.7,694.4,11.27,Loamy,73286.99,2023
FARM000239,Nakuru,Maize,Long Rains,1.23,235.7,386.8,2.4,Sandy,73884.97,2023
FARM000240,Uasin Gishu,Coffee,Long Rains,7.98,260.2,845.7,4.23,Loamy,13312.02,2023
FARM000241,Bungoma,Sugarcane,Long Rains,2.04,268.3,464.0,1.41,Loamy,38384.31,2023
FARM000242,Uasin Gishu,Beans,Long Rains,2.58,261.6,950.1,6.03,Clay,25080.54,2015
FARM000243,Embu,Maize,Long Rains,9.06,71.1,635.2,11.31,Sandy,41251.94,2018
FARM000244,Embu,Wheat,Long Rains,0.79,224.1,1115.1,2.91,Loamy,67821.22,2019
FARM000245,Meru,Coffee,Short Rains,9.85,71.4,391.8,3.03,Sandy,41193.01,2024
FARM000246,Nyeri,Maize,Long Rains,8.89,63.4,915.9,7.51,Sandy,67830.93,2016
FARM000247,Nakuru,Beans,Long Rains,7.61,118.6,454.5,6.22,Clay,33148.45,2021
FARM000248,Kisumu,Tea,Short Rains,8.76,392.6,584.6,2.77,Loamy,34639.37,2024
FARM000249,Uasin Gishu,Maize,Short Rains,2.85,336.2,1108.9,6.81,Loamy,35330.96,2023
FARM000250,Bungoma,Maize,Short Rains,1.78,398.8,923.8,9.4,Sandy,71185.54,2015
FARM000251,Embu,Coffee,Long Rains,9.49,77.0,1206.5,1.87,Loamy,38987.75,2021
FARM000252,Nakuru,Maize,Long Rains,8.91,449.5,1215.1,6.7,Loamy,51393.14,2015
FARM000253,Kisumu,Coffee,Long Rains,4.1,421.9,364.1,11.56,Clay,45730.59,2020
FARM000254,Nyeri,Coffee,Long Rains,8.25,196.0,1403.4,7.61,Sandy,41481.33,2020
FARM000255,Kisumu,Beans,Long Rains,1.12,357.7,424.6,8.12,Clay,22617.69,2022
FARM000256,Meru,Coffee,Short Rains,9.18,201.9,827.1,9.88,Sandy,50034.12,2024
FARM000257,Bungoma,Tea,Short Rains,9.13,139.8,1374.9,3.14,Clay,47993.46,2023
FARM000258,Nakuru,Coffee,Short Rains,3.48,141.3,336.9,6.77,Clay,52664.48,2023
FARM000259,Kisumu,Sugarcane,Short Rains,4.64,290.1,1270.2,9.95,Loamy,21455.95,2015
FARM000260,Bungoma,Tea,Long Rains,0.93,392.6,567.5,11.5,Loamy,59370.1,2024
FARM000261,Nakuru,Maize,Long Rains,3.89,262.4,408.8,11.92,Clay,79259.49,2020
FARM000262,Uasin Gishu,Beans,Short Rains,5.23,396.6,1175.9,2.29,Loamy,62201.97,2017
FARM000263,Uasin Gishu,Tea,Short Rains,7.19,225.1,923.8,11.6,Loamy,59146.23,2018
FARM000264,Kisumu,Beans,Short Rains,8.01,137.8,629.6,8.63,Clay,19177.42,2018
FARM000265,Kisumu,Tea,Long Rains,8.71,137.7,200.0,9.41,Clay,41993.59,2015
FARM000266,Bungoma,Wheat,Short Rains,2.25,387.5,1468.1,5.67,Clay,41979.23,2020
FARM000267,Embu,Tea,Long Rains,2.87,185.2,279.4,1.9,Clay,27506.03,2019
